run_id,run_name,hidden_dim,learning_rate,min_lr_ratio,adam_lr,num_layers,loss,optimizer_name,warmup
exp1570_hidden128-mup-adamh-fixed-lr2-lr1.00e-2-a7d44d,exp1570_hidden128-mup-adamh-fixed-lr2-lr1.00e-2-a7d44d,128.0,0.01,0.1,0.01,4.0,4.596414089202881,adamh,0.1
exp1570_hidden1024-mup-adamh-fixed-lr2-lr7.07e-3-f823be,exp1570_hidden1024-mup-adamh-fixed-lr2-lr7.07e-3-f823be,1024.0,0.007071067811865476,0.1,0.007071067811865476,4.0,3.6902101039886475,adamh,0.1
exp1570_hidden128-mup-adamh-anneal-to-0-lr1.00e-2-58996c,exp1570_hidden128-mup-adamh-anneal-to-0-lr1.00e-2-58996c,128.0,0.01,0.0,0.01,4.0,4.551783561706543,adamh,0.1
exp1570_hidden128-mup-adamh-anneal-to-0-lr1.41e-2-0b9bf0,exp1570_hidden128-mup-adamh-anneal-to-0-lr1.41e-2-0b9bf0,128.0,0.014142135623730952,0.0,0.014142135623730952,4.0,4.552981376647949,adamh,0.1
exp1570_hidden128-mup-adamh-anneal-to-0-lr5.00e-3-7a1955,exp1570_hidden128-mup-adamh-anneal-to-0-lr5.00e-3-7a1955,128.0,0.005,0.0,0.005,4.0,4.551264762878418,adamh,0.1
exp1570_hidden128-mup-adamh-anneal-to-0-lr7.07e-3-d9a2f8,exp1570_hidden128-mup-adamh-anneal-to-0-lr7.07e-3-d9a2f8,128.0,0.007071067811865476,0.0,0.007071067811865476,4.0,4.548518180847168,adamh,0.1
exp1570_hidden128-mup-adamh-anneal-to-0-lr3.54e-3-45f742,exp1570_hidden128-mup-adamh-anneal-to-0-lr3.54e-3-45f742,128.0,0.003535533905932738,0.0,0.003535533905932738,4.0,4.5653204917907715,adamh,0.1
exp1570_hidden1024-mup-muonh-fixed-lr2-lr3.54e-3-0c6d55,exp1570_hidden1024-mup-muonh-fixed-lr2-lr3.54e-3-0c6d55,1024.0,0.003535533905932738,0.1,0.003535533905932738,4.0,4.536056995391846,muonh,0.0
exp1570_hidden1024-mup-adamh-anneal-to-0-lr5.00e-3-2f8b65,exp1570_hidden1024-mup-adamh-anneal-to-0-lr5.00e-3-2f8b65,1024.0,0.005,0.0,0.005,4.0,3.6573872566223145,adamh,0.1
exp1570_hidden1024-mup-adamh-anneal-to-0-lr7.07e-3-ccc03c,exp1570_hidden1024-mup-adamh-anneal-to-0-lr7.07e-3-ccc03c,1024.0,0.007071067811865476,0.0,0.007071067811865476,4.0,3.653510808944702,adamh,0.1
exp1570_hidden1024-mup-adamh-anneal-to-0-lr3.54e-3-d4fea1,exp1570_hidden1024-mup-adamh-anneal-to-0-lr3.54e-3-d4fea1,1024.0,0.003535533905932738,0.0,0.003535533905932738,4.0,3.67510724067688,adamh,0.1
exp1570_hidden1024-mup-muonh-fixed-lr2-lr7.07e-3-28433e,exp1570_hidden1024-mup-muonh-fixed-lr2-lr7.07e-3-28433e,1024.0,0.007071067811865476,0.1,0.007071067811865476,4.0,4.313891410827637,muonh,0.0
exp1570_hidden1024-mup-muonh-fixed-lr2-lr1.00e-2-8460ba,exp1570_hidden1024-mup-muonh-fixed-lr2-lr1.00e-2-8460ba,1024.0,0.01,0.1,0.01,4.0,4.507075786590576,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-lr7.07e-3-89af85,exp1570_hidden1024-mup-muonh-decay-to-0-lr7.07e-3-89af85,1024.0,0.007071067811865476,0.0,0.007071067811865476,4.0,3.6327271461486816,muonh,0.0
exp1570_hidden1024-mup-adamh-anneal-to-0-lr1.00e-2-0f2bc5,exp1570_hidden1024-mup-adamh-anneal-to-0-lr1.00e-2-0f2bc5,1024.0,0.01,0.0,0.01,4.0,3.6542091369628906,adamh,0.1
exp1570_hidden1024-mup-muonh-decay-to-0-lr3.54e-3-e3ddc9,exp1570_hidden1024-mup-muonh-decay-to-0-lr3.54e-3-e3ddc9,1024.0,0.003535533905932738,0.0,0.003535533905932738,4.0,3.6486759185791016,muonh,0.0
