run_id,run_name,learning_rate,loss,optimizer_name,num_train_steps,num_tokens
muon-lr2.00e-2-8B-accc00,muon-lr2.00e-2-8B-accc00,0.02,3.3427467346191406,muon,15258.7890625,8000000000.0
muonh-lr1.41e-2-2B-fe9661,muonh-lr1.41e-2-2B-fe9661,0.014142135623730952,3.5032355785369873,muonh,3814.697265625,2000000000.0
muonh-lr1.00e-2-6B-220fb1,muonh-lr1.00e-2-6B-220fb1,0.01,3.3439505100250244,muonh,11444.091796875,6000000000.0
muonh-lr2.00e-2-2B-592bac,muonh-lr2.00e-2-2B-592bac,0.02,3.520733118057251,muonh,3814.697265625,2000000000.0
muonh-lr1.41e-2-4B-2928d5,muonh-lr1.41e-2-4B-2928d5,0.014142135623730952,3.393160820007324,muonh,7629.39453125,4000000000.0
muon-lr1.00e-2-4B-fe6c56,muon-lr1.00e-2-4B-fe6c56,0.01,3.4066147804260254,muon,7629.39453125,4000000000.0
muonh-lr7.07e-3-4B-c415d7,muonh-lr7.07e-3-4B-c415d7,0.007071067811865476,3.4257588386535645,muonh,7629.39453125,4000000000.0
muonh-lr5.00e-3-12B-edc5c9,muonh-lr5.00e-3-12B-edc5c9,0.005,3.3012783527374268,muonh,22888.18359375,12000000000.0
muon-lr1.41e-2-1B-f053eb,muon-lr1.41e-2-1B-f053eb,0.014142135623730952,3.686974287033081,muon,1907.3486328125,1000000000.0
muon-lr1.41e-2-6B-e4c156,muon-lr1.41e-2-6B-e4c156,0.014142135623730952,3.3544557094573975,muon,11444.091796875,6000000000.0
muon-lr5.00e-3-4B-1122b6,muon-lr5.00e-3-4B-1122b6,0.005,3.438110113143921,muon,7629.39453125,4000000000.0
muon-lr2.00e-2-4B-6f7c22,muon-lr2.00e-2-4B-6f7c22,0.02,3.4179906845092773,muon,7629.39453125,4000000000.0
muon-lr7.07e-3-6B-21288d,muon-lr7.07e-3-6B-21288d,0.007071067811865476,3.3604743480682373,muon,11444.091796875,6000000000.0
muonh-lr1.00e-2-4B-d1c270,muonh-lr1.00e-2-4B-d1c270,0.01,3.4000253677368164,muonh,7629.39453125,4000000000.0
